y1,y2,y3,y4,gen,race,income
100,100,52,100,0,1,52.2375522924125
100,98,99,95,1,0,48.3656392463455
50,100,90,0,1,0,47.7198348942742
65,90,100,50,0,1,44.9433561462925
100,32,60,60,0,1,50.3725655837965
100,0,100,100,0,1,48.8709775632498
0,100,100,100,1,1,52.069820626583
50,30,70,30,0,1,53.0055294193345
100,99,80,90,1,0,53.6068446043735
99,50,70,20,1,0,48.7067877234595
100,100,100,100,1,0,51.4156843480095
0,0,0,0,1,1,47.1060169459117
75,25,70,50,0,0,55.9700108220495
99,0,2,0,1,1,48.7222677855911
100,0,0,0,0,0,55.0300546818615
90,75,70,50,1,0,51.772230164427
0,0,0,40,1,0,48.3159682068538
99,0,100,100,1,1,50.9563569978555
90,100,100,85,0,0,52.2225648793695
90,50,0,30,1,1,53.6284801671805
50,80,90,90,0,1,54.3026919948935
0,0,100,100,1,1,52.661706769095
100,99,100,100,0,0,53.604899542636
0,15,0,50,0,1,46.9604713041307
50,50,50,0,0,1,51.679028817311
50,0,100,50,0,1,41.0294268302686
0,0,1,0,0,1,46.183124172135
50,0,95,100,1,0,53.9515016996855
0,80,50,50,1,0,49.4923595775442
50,100,0,100,0,1,42.80262622892
100,0,0,0,0,0,53.6402960925065
2,100,80,75,0,0,50.8746661246045
100,50,50,0,0,0,53.333397348087
25,45,0,100,1,0,49.1308372482073
100,15,50,0,1,0,47.7404706157006
90,90,85,90,1,0,54.984424172277
5,10,10,25,0,0,53.1411675477485
75,90,90,100,0,0,54.347581255557
10,90,0,20,1,1,50.15181425817
5,50,100,0,0,1,54.755734789597
50,0,50,75,0,1,49.707774932017
100,100,80,25,0,1,49.1751122594045
100,0,50,90,0,0,51.812621748103
100,100,1,100,0,1,50.5759484035775
0,0,50,50,1,1,49.8485869551228
0,50,0,50,1,1,42.8282566345105
0,0,89,100,0,1,49.7340151347623
50,75,50,50,1,0,51.4059969699115
80,75,90,50,0,0,52.517941143064
51,100,0,0,1,1,36.7089170227297
30,25,0,0,0,1,45.8882571772755
0,0,0,10,0,1,38.9438752662667
0,100,40,99,0,1,48.6600136762505
0,50,100,50,0,1,49.9687391102942
0,0,100,0,1,1,43.166811579783
90,90,70,40,0,1,53.045299225232
90,95,90,0,1,0,51.154602354073
75,100,99,90,1,0,52.6357310733405
80,99,1,1,0,1,49.5504804060757
100,100,50,10,1,0,44.1022475619192
75,0,0,0,1,0,55.7354720450935
10,50,0,10,0,0,48.5295508253515
100,10,30,50,0,0,49.050009969047
99,0,100,100,0,0,52.455102441819
96,100,100,100,1,0,50.3241519506285
89,100,100,75,0,1,48.2869325269636
100,100,90,100,1,1,39.5860724733118
0,50,98,100,0,0,43.9138768501777
100,100,100,0,1,1,51.884895630891
80,0,100,100,1,0,45.377146966098
35,35,50,50,0,0,49.7950684985635
75,50,90,100,1,0,51.9883426000665
75,50,75,50,0,1,49.5277807347363
100,100,100,100,1,1,48.3938181274253
0,0,0,100,1,1,52.3799760865135
60,50,50,50,0,1,51.0446516432475
67,100,1,0,0,1,48.8750828548227
100,90,100,80,1,1,49.5441202703628
99,50,90,50,1,0,43.7382008807815
0,100,50,99,0,1,50.775940648741
0,100,100,100,0,0,52.2962093422185
99,90,100,100,1,1,54.7750927063195
75,97,80,100,0,1,51.9265329315725
75,100,100,100,1,0,50.9109041050145
80,75,50,90,0,0,52.024730543723
50,1,99,95,1,0,51.62338706338
100,0,0,100,1,1,49.4649715807448
0,0,0,0,0,0,48.4008203650403
0,0,0,100,1,0,52.967476234327
75,75,0,0,0,0,49.0927387219408
75,99,75,0,0,0,55.072625933231
50,25,0,0,1,0,56.5485033329815
75,50,0,50,1,1,43.9194669698385
50,0,50,100,1,1,50.7455947464385
75,50,1,0,1,1,46.5781289421997
0,90,0,0,1,1,51.2407844035355
50,30,50,50,0,0,56.6995155666365
25,0,50,75,0,0,50.820786631866
100,50,50,50,0,0,42.4334122933618
5,99,60,89,1,1,46.5082556460803
0,0,0,0,1,1,41.3589472114025
0,85,100,0,0,0,54.0004772648725
99,100,90,100,1,0,45.0013743625069
90,99,65,99,1,1,50.5622625307175
50,0,100,0,0,1,52.097258322192
80,100,75,50,1,0,51.6967795369355
0,0,0,0,1,0,52.3359090989455
98,100,100,100,1,0,50.7772918248755
0,0,0,100,1,0,50.619122609243
45,0,40,15,0,0,48.7720667310477
95,98,97,80,0,0,52.5910023739465
0,100,75,50,0,0,54.038073780269
