y1,y2,y3,y4,x1,x2,x3,x4,gen
50,50,0,0,60,50,0,0,1
15,50,50,0,20,85,75,100,0
100,0,0,,50,100,1,,1
0,0,0,0,100,100,100,99,1
10,40,50,0,,20,90,25,0
0,0,0,0,0,0,,0,1
0,50,,60,0,0,,20,0
100,99,100,95,0,1,30,5,1
,70,75,0,,0,0,20,0
100,100,99,95,,75,1,1,0
90,90,100,100,0,50,50,90,1
50,100,0,0,75,0,50,50,0
100,0,100,0,0,0,5,0,0
100,80,,,0,30,,,0
100,0,100,100,10,0,0,80,1
10,0,20,20,66,0,33,76,0
100,100,0,100,0,50,90,50,1
50,0,0,0,50,0,0,0,0
25,96,0,4,10,0,100,10,0
100,100,52,100,50,100,52,0,0
0,50,100,75,50,30,95,15,0
0,0,95,100,5,0,5,0,0
0,0,0,0,0,4,3,9,1
0,0,1,8,0,0,2,6,0
100,50,0,100,98,50,0,50,1
0,100,100,,100,0,50,,0
,,50,80,,,20,30,0
100,100,99,100,0,60,75,90,1
95,,100,0,,,99,0,1
,60,,,,0,,,0
75,99,99,0,5,10,10,0,0
100,100,100,,40,0,25,,1
100,98,99,95,50,5,50,50,1
98,80,50,50,0,5,50,50,1
,,,,,,,,0
50,100,90,0,50,95,0,99,1
100,,100,80,50,,10,20,1
80,100,,100,10,0,,30,1
65,90,100,50,65,0,50,50,0
,,0,0,0,,0,0,1
100,0,0,0,50,0,100,100,1
50,100,90,90,50,50,50,50,0
100,50,100,100,0,50,50,100,1
0,100,100,75,25,0,0,75,0
,1,100,1,0,1,4,0,1
0,100,70,0,,0,50,100,0
,60,100,0,,90,75,0,1
0,60,40,100,40,5,1,0,1
50,100,100,100,50,20,5,50,1
100,50,89,0,,0,99,0,1
100,32,60,60,10,0,40,50,0
,50,100,100,,25,50,0,0
0,100,85,99,45,10,60,0,1
100,0,25,5,25,90,60,30,1
0,75,78,75,50,75,20,0,1
60,45,45,90,40,65,55,70,1
,0,0,99,,1,0,99,0
1,50,,,64,0,,99,0
10,0,0,100,60,100,50,50,1
100,0,100,100,99,0,0,100,0
100,10,90,0,0,80,98,100,1
100,0,100,100,100,100,5,100,0
99,99,99,2,0,100,99,50,1
50,0,0,,25,0,100,,0
10,,100,50,2,100,50,50,0
0,,,,50,,,,0
90,,,100,5,,,0,0
0,0,50,100,100,0,90,0,0
50,100,0,100,15,50,100,85,1
75,70,25,80,25,25,50,0,0
100,,0,100,0,,1,100,0
0,100,100,0,0,100,0,0,1
100,100,100,100,100,23,50,50,0
90,50,,,50,50,,,0
100,99,75,50,50,50,50,30,0
100,0,,75,10,50,,80,0
0,15,0,1,100,100,100,100,1
90,50,50,50,0,75,50,5,1
70,75,55,0,50,76,50,45,0
0,100,100,100,0,0,0,100,0
24,,0,100,27,,0,25,1
0,80,100,90,0,0,20,50,0
100,0,100,0,,,50,100,0
0,0,0,0,0,0,100,100,1
75,35,50,0,75,55,25,100,0
100,50,,0,50,50,,,1
75,0,0,100,50,100,80,,0
,,0,,,,,,0
,25,15,50,,50,15,60,0
,1,0,0,,50,100,100,0
0,100,100,0,0,50,90,100,1
,0,,0,,0,,0,0
100,0,80,70,0,89,70,80,0
0,100,100,100,25,50,100,100,1
100,,,,0,,,,0
90,,,,0,,,,0
50,30,70,30,25,100,100,75,0
,0,,,,0,,,0
80,99,100,95,90,99,100,90,0
0,98,80,90,1,90,80,90,1
,100,100,100,,100,5,100,1
92,0,100,100,14,99,50,50,1
1,0,0,0,75,55,76,0,1
100,99,80,90,0,50,50,20,1
50,90,90,90,25,10,10,10,0
90,0,1,1,90,0,100,1,0
100,90,1,99,85,50,1,20,1
95,75,40,98,25,10,50,42,0
100,100,100,0,0,0,0,100,1
90,1,50,40,0,90,60,95,1
100,100,50,0,0,0,0,90,1
,,,80,,,,20,1
98,95,50,75,1,5,10,0,0
75,75,100,100,25,25,0,75,1
0,20,1,1,100,50,1,1,1
85,0,100,,90,0,75,,0
0,0,0,,100,50,20,,0
80,,,80,25,,,0,0
100,,,,50,,,,0
1,,,,0,,,,0
100,90,80,100,25,10,0,0,0
100,100,75,100,10,0,5,50,0
25,,,,25,,,,0
50,,,,50,,,,0
100,,100,,50,,0,,1
1,50,0,50,0,0,0,0,0
98,100,10,0,0,0,100,100,1
100,90,,100,0,95,,0,1
99,50,70,20,10,0,10,20,1
80,50,99,99,10,1,1,50,1
100,75,75,,0,0,30,,0
99,99,100,99,0,5,0,1,0
85,,90,,35,,5,,0
85,50,100,0,50,100,99,99,0
90,50,,80,10,2,,40,0
95,,50,100,75,,20,75,1
100,100,100,100,0,0,0,,1
0,100,69,0,100,45,80,0,0
90,95,95,92,10,95,13,12,1
100,100,,,0,0,,,0
100,,100,,0,,10,,1
50,100,99,100,0,0,10,10,1
0,10,40,0,0,0,10,30,0
85,60,,20,65,,,0,0
50,75,50,50,75,,35,50,0
56,20,0,,70,40,0,,0
25,0,1,0,55,98,100,0,1
100,100,100,100,95,99,100,100,1
75,20,40,40,25,40,30,35,1
0,0,0,30,100,100,100,99,0
100,0,100,100,100,100,0,0,1
0,0,99,0,50,0,0,50,0
0,0,0,0,0,0,0,0,1
75,0,,,12,0,,,0
75,25,70,50,25,10,25,50,0
100,0,75,50,5,0,100,0,0
100,0,0,0,67,50,100,99,1
100,100,50,50,20,10,0,0,0
99,0,2,0,10,100,100,100,1
0,0,,,0,10,,,1
3,30,30,100,0,0,0,0,0
100,,,50,50,,,50,1
50,,,0,0,,,0,0
0,0,90,75,0,0,90,95,1
100,0,0,0,0,50,0,10,0
99,100,99,100,0,1,0,50,1
0,,,100,0,,,68,0
0,0,100,0,0,,100,100,0
0,100,100,,0,0,0,,1
100,90,90,95,25,50,50,90,1
50,100,100,95,50,10,5,5,1
100,100,,,75,25,,,0
50,100,,,25,0,,,1
5,0,0,,95,99,20,,0
90,95,80,100,0,70,20,20,1
90,100,90,85,50,10,90,,0
90,75,70,50,75,30,50,50,1
90,,0,,99,,100,,1
95,50,50,,15,50,50,,1
100,100,100,,50,0,25,,0
80,,50,50,90,,50,75,1
88,0,0,,10,,0,,1
0,0,0,40,99,,0,40,1
45,50,45,70,25,75,50,30,0
50,50,0,0,75,50,50,50,0
0,0,0,100,50,50,98,0,1
96,99,99,99,9,0,0,0,0
95,0,0,,99,0,100,,1
100,100,65,15,0,0,25,25,1
70,0,50,100,80,85,0,0,0
95,98,75,,50,0,10,,0
50,100,50,0,10,99,0,100,1
90,100,,10,0,1,,90,1
99,0,100,100,1,100,25,0,1
2,0,99,10,99,100,4,100,0
0,75,,,50,,,0,0
,,,,,,,,1
,100,100,100,,0,0,90,1
80,0,40,25,0,0,0,0,0
90,100,100,85,10,2,15,5,0
95,70,85,90,20,40,5,85,1
0,100,0,0,0,0,100,100,0
0,90,0,100,5,9,100,40,1
100,100,100,100,100,0,0,0,1
100,0,99,0,0,0,1,100,1
100,100,100,0,0,0,0,0,0
60,100,100,80,40,50,0,65,1
0,0,20,50,50,40,40,50,1
95,80,10,10,10,50,25,10,0
100,100,20,100,5,0,0,30,0
90,50,0,30,90,3,95,40,1
50,80,90,90,70,80,0,60,0
100,98,90,99,0,80,40,0,1
0,0,0,0,100,100,99,100,1
75,75,50,0,98,45,30,47,0
0,0,100,100,0,0,0,0,1
0,25,,,0,15,,,1
25,0,50,99,10,0,25,1,0
100,99,99,90,0,0,60,88,0
0,95,0,0,0,5,100,99,0
99,70,80,78,97,2,90,88,1
75,50,10,0,10,90,95,90,0
45,30,25,100,10,0,0,0,0
75,99,0,80,15,5,99,50,1
100,99,100,100,5,5,0,20,0
100,0,100,50,0,0,0,100,1
,100,0,,,0,0,,1
1,0,0,0,5,90,10,50,0
0,75,90,90,90,50,50,50,1
99,75,0,0,5,90,25,10,0
0,15,0,50,10,50,0,75,0
0,0,100,0,0,0,50,50,0
50,50,50,0,0,10,0,0,0
75,75,50,55,50,55,50,75,1
100,99,100,100,80,5,15,0,1
100,99,99,97,25,30,2,25,1
50,50,50,,40,70,10,50,0
100,100,0,0,0,0,0,100,1
99,100,50,,50,1,10,,0
100,100,100,95,30,10,100,30,1
50,0,0,100,25,0,100,100,1
0,0,100,0,100,100,0,100,0
0,100,0,0,50,99,97,100,1
75,90,90,80,0,5,5,15,0
50,100,100,90,0,90,0,50,1
90,50,,,20,50,,,0
70,0,0,0,10,100,0,100,0
100,50,100,100,0,50,60,1,1
0,,,,10,,,,0
89,,,,0,,,,0
80,100,80,50,50,0,20,10,0
0,50,50,50,0,50,40,50,1
80,,,100,0,,,50,1
0,0,0,0,40,50,50,50,0
0,75,55,60,5,50,45,50,1
50,,,50,0,,,0,0
99,70,0,60,78,0,,0,0
0,90,0,100,40,60,50,50,0
100,95,90,,20,85,30,,0
50,0,100,50,0,0,50,75,0
100,99,100,100,10,50,0,0,0
0,0,1,0,0,0,1,90,0
0,0,0,0,0,30,,,0
75,50,0,100,75,50,50,50,0
1,39,99,100,90,45,0,11,0
50,0,95,100,85,90,80,70,1
0,80,50,50,100,70,12,50,1
100,50,50,50,0,50,0,50,0
,,0,100,,,100,50,1
98,50,0,35,0,40,,50,1
5,50,25,50,75,0,25,50,1
75,100,80,0,0,10,50,0,1
100,100,100,20,50,50,40,90,1
50,0,,,50,0,,,1
50,100,0,100,0,100,100,0,0
50,0,90,20,50,,4,60,1
100,100,50,,80,100,50,,0
100,0,0,0,50,0,0,100,0
75,50,75,,1,25,1,,0
0,0,90,50,0,0,10,50,0
15,100,80,50,15,0,50,50,0
2,100,80,75,2,0,90,30,0
90,,2,75,0,,90,50,0
20,90,0,0,50,50,100,100,1
100,99,0,85,0,0,0,0,0
100,75,95,99,0,0,0,2,1
100,50,50,0,25,50,1,50,0
0,50,50,50,25,50,50,50,1
75,75,50,100,25,50,0,0,1
3,0,0,0,12,0,100,100,1
25,45,0,100,0,0,0,0,1
50,90,100,100,55,20,98,98,1
99,100,100,100,5,50,50,50,1
0,100,100,0,75,0,75,0,0
80,80,0,0,100,90,90,90,1
1,0,100,100,1,0,50,100,1
0,100,9,0,4,50,0,0,0
86,70,75,25,15,75,20,90,1
90,85,,,70,15,,,0
100,90,90,90,25,50,40,50,1
75,90,95,90,55,60,20,0,1
50,50,,,35,,,,1
0,,,0,0,,,50,1
90,90,80,95,10,10,100,95,0
80,95,0,0,85,20,100,100,1
100,15,50,0,0,100,100,99,1
90,90,85,90,0,0,0,0,1
1,100,100,100,0,0,90,100,0
100,0,0,0,10,100,50,1,1
0,0,0,,0,100,100,,1
0,0,90,0,0,90,20,100,0
50,100,99,100,50,10,50,50,1
75,75,65,75,0,50,0,12,1
0,100,100,100,0,0,0,0,0
100,100,100,100,,0,0,50,1
75,0,50,100,75,,50,100,0
100,75,,0,0,75,,0,1
90,99,65,75,25,1,25,25,0
100,,,,,,,,1
0,,90,0,50,,0,50,1
80,75,75,50,50,0,0,0,0
0,0,0,20,0,0,100,70,1
5,10,10,25,15,50,30,25,0
100,100,100,,90,5,50,,0
1,5,99,21,1,95,1,23,0
50,,100,99,50,,0,0,1
30,90,75,50,50,45,30,20,1
80,40,50,100,40,20,0,0,0
50,99,75,100,25,10,30,50,0
100,,,,0,,,,0
0,,95,0,100,,50,0,1
75,90,90,100,50,50,75,50,0
0,0,0,0,100,100,100,99,1
95,50,95,85,50,50,10,0,1
100,100,,100,,,,50,1
10,50,100,5,100,50,0,50,0
100,60,75,90,0,0,0,75,0
0,95,99,,0,5,50,,1
95,100,100,100,0,0,0,1,1
90,0,50,80,5,30,10,20,0
75,100,0,40,20,0,75,75,0
50,85,75,45,50,10,0,25,0
5,40,0,70,0,50,1,40,0
0,50,100,,90,100,0,,0
4,100,4,100,1,100,4,50,0
100,100,100,0,10,100,50,50,0
0,90,90,98,0,20,20,0,0
0,0,99,99,90,1,0,99,0
100,100,100,100,100,50,10,0,0
30,40,0,0,50,70,100,20,0
90,100,0,100,50,50,99,50,1
100,100,,100,10,90,,0,1
0,,100,98,0,,40,15,1
0,0,99,100,0,90,40,50,1
,100,,0,100,0,,100,1
0,0,,0,1,0,,0,1
50,0,0,0,50,0,0,0,0
50,20,100,40,50,100,70,0,0
,0,100,100,,100,100,0,1
100,90,95,98,5,10,5,0,0
50,,,,50,,,,0
90,100,100,100,0,0,5,75,1
75,0,75,75,10,75,20,25,1
0,0,0,50,10,5,0,50,1
50,0,100,0,,0,50,50,1
10,90,0,20,10,50,50,80,1
75,50,50,80,25,50,20,10,0
10,0,0,0,20,100,100,0,1
20,13,100,,,15,100,0,0
20,35,30,20,10,50,30,0,0
0,100,0,0,0,20,100,0,1
0,100,100,100,0,2,100,100,0
10,0,5,99,10,90,5,50,1
70,90,20,50,25,90,90,0,1
10,5,,0,75,100,,100,0
50,50,0,50,25,50,50,0,0
0,0,50,0,2,0,20,0,1
65,75,50,50,3,0,30,0,0
90,,,,10,,,,1
100,99,50,90,0,0,60,10,0
,100,,,,50,,,0
,89,50,0,,99,50,5,1
100,,,,0,,,,1
100,20,100,100,50,0,100,50,0
100,1,0,0,1,99,50,0,0
5,50,100,0,20,80,70,0,0
100,0,100,50,0,5,0,0,1
100,100,100,100,50,40,100,30,1
30,90,,98,50,30,,0,1
0,0,0,20,6,0,0,60,1
50,50,0,,75,0,50,,0
50,0,50,75,60,0,80,15,0
80,99,100,100,50,30,5,0,0
90,30,100,95,5,0,5,0,0
0,100,100,100,30,0,0,0,0
50,80,0,99,15,5,60,1,0
100,,100,0,0,,0,0,0
100,100,80,25,0,5,20,25,0
75,50,50,,0,0,0,,0
75,100,99,50,35,0,0,0,1
65,20,50,0,50,56,0,50,0
100,50,85,99,50,55,25,10,1
0,45,30,1,0,1,6,3,1
100,0,50,90,0,0,20,0,0
75,0,10,60,90,0,90,60,0
99,100,80,75,0,20,30,10,1
0,10,100,50,0,5,100,100,1
100,100,1,100,35,0,0,0,0
0,0,50,50,85,100,100,15,1
6,,100,5,0,20,10,10,0
0,50,0,50,100,99,50,50,1
0,0,100,0,90,0,100,0,0
0,0,89,100,5,30,0,0,0
0,0,5,,100,0,90,,1
80,90,99,90,60,25,95,50,1
50,75,50,50,25,10,25,20,1
,90,100,100,,90,90,10,1
50,,75,0,0,,0,100,0
70,50,50,70,20,0,60,20,0
80,75,90,50,40,,10,10,0
0,99,100,100,0,0,0,0,0
,100,95,100,,5,5,98,0
,0,100,100,,100,0,100,1
0,50,1,0,,50,98,50,1
75,90,95,100,15,10,0,0,1
51,100,0,0,50,0,0,0,1
100,50,0,,0,20,0,,0
0,2,60,100,0,0,0,0,1
,75,50,50,,50,50,25,0
0,0,50,0,50,0,0,100,0
90,0,100,100,40,90,60,0,1
0,100,100,10,90,50,0,80,0
95,0,90,0,90,95,10,100,1
60,70,100,30,0,30,5,2,0
0,100,0,,99,55,99,,1
0,,,,80,,,,1
99,100,100,100,20,10,50,15,1
90,95,40,90,10,10,30,40,0
99,0,6,100,3,1,70,50,1
30,25,0,0,60,50,70,50,0
0,60,99,30,50,0,0,0,0
0,0,100,0,10,65,0,100,1
0,0,0,10,0,50,0,0,0
0,0,0,0,0,100,0,50,1
90,,,,20,,,,0
50,99,100,56,20,1,15,0,0
50,30,0,20,100,20,0,40,1
0,0,0,2,0,0,0,0,1
90,100,50,25,10,0,0,25,1
65,,80,100,50,,10,0,1
20,,,0,50,,,0,0
25,,100,,0,,10,,1
0,,100,,0,,10,,1
100,100,100,100,0,0,0,0,0
100,50,100,100,10,0,100,90,0
90,70,30,50,80,50,10,70,0
0,100,40,99,75,50,80,0,0
90,80,99,98,25,90,50,40,0
99,100,100,100,75,99,1,0,1
0,0,100,100,0,0,100,100,1
0,100,100,100,0,90,100,99,1
0,0,0,0,0,100,0,0,1
100,50,50,50,50,0,0,0,0
99,99,0,0,75,99,0,0,1
100,100,100,100,50,50,0,0,1
85,60,2,40,85,20,8,50,0
80,80,50,50,70,50,10,50,1
0,0,0,0,0,100,2,90,1
50,0,0,0,20,3,100,90,1
0,0,100,0,0,0,0,50,1
0,50,100,50,0,90,0,0,0
0,0,0,0,0,0,0,0,1
0,,0,50,10,,0,50,1
0,0,0,0,0,0,0,0,1
50,3,10,100,100,1,89,2,0
75,100,0,100,0,100,100,0,0
95,0,99,65,95,50,1,20,1
99,99,90,100,0,0,0,0,1
0,0,0,0,10,0,12,2,1
0,0,100,0,25,0,20,100,1
50,75,75,100,60,10,10,0,0
0,0,0,0,0,100,100,100,0
90,90,70,40,5,1,10,20,0
100,100,100,0,80,95,0,0,1
0,75,99,,25,,1,,0
90,95,90,0,20,25,45,90,1
100,100,90,5,100,100,100,98,0
