y1,y2,y3,y4,gen,race,income
50,50,0,0,1,0,10.7500481527018
15,50,50,0,0,1,10.4904681607437
100,0,0,,1,1,10.4244078983812
0,0,0,0,1,1,10.3915632645317
10,40,50,0,0,1,10.7070082093035
0,0,0,0,1,1,9.80659253541709
0,50,,60,0,1,7.46961681718819
100,99,100,95,1,0,10.2735380746625
,70,75,0,0,0,9.85779906076224
100,100,99,95,0,0,9.01583839659816
90,90,100,100,1,1,9.92965734497358
50,100,0,0,0,1,10.7685929349242
100,0,100,0,0,1,9.84424309843917
100,80,,,0,1,9.70917762643839
100,0,100,100,1,1,9.83285281936775
10,0,20,20,0,1,9.14437278220101
100,100,0,100,1,1,10.0966693160347
50,0,0,0,0,1,9.88946022710348
25,96,0,4,0,1,10.0902056140599
100,100,52,100,0,1,9.65820708666088
0,50,100,75,0,1,9.15828862912579
0,0,95,100,0,1,10.4681029418844
0,0,0,0,1,1,10.4520198532397
0,0,1,8,0,1,7.09906512896073
100,50,0,100,1,1,6.36748642808263
0,100,100,,0,1,8.78360936085758
,,50,80,0,1,8.13349281972987
100,100,99,100,1,1,9.56745457658562
95,,100,0,1,0,10.3730285990776
,60,,,0,0,9.35113602307213
75,99,99,0,0,0,10.4355731216947
100,100,100,,1,0,11.0597210295274
100,98,99,95,1,0,9.36381340022597
98,80,50,50,1,0,7.51385091233058
,,,,0,0,8.85176420459488
50,100,90,0,1,0,9.62493971411988
100,,100,80,1,0,9.98024380893402
80,100,,100,1,0,10.5414173284638
65,90,100,50,0,1,9.06562227233009
,,0,0,1,0,8.67004494627503
100,0,0,0,1,0,9.73518024000041
50,100,90,90,0,0,9.59430316680037
100,50,100,100,1,1,9.06955180235408
0,100,100,75,0,1,10.7313269241512
,1,100,1,1,1,8.98772135568006
0,100,70,0,0,1,9.73747936420649
,60,100,0,1,1,9.12414994679073
0,60,40,100,1,1,10.3153964325914
50,100,100,100,1,1,10.1205099893542
100,50,89,0,1,1,9.34359534279253
100,32,60,60,0,1,10.1156734416718
,50,100,100,0,1,9.29710237227945
0,100,85,99,1,1,10.014104154311
100,0,25,5,1,1,9.1430425903327
0,75,78,75,1,1,10.0951819417429
60,45,45,90,1,0,9.9998671160238
,0,0,99,0,1,8.56671761408669
1,50,,,0,1,10.3155228526282
10,0,0,100,1,1,9.88004611180659
100,0,100,100,0,0,8.73111555453864
100,10,90,0,1,1,9.72993826459717
100,0,100,100,0,1,9.75551952600748
99,99,99,2,1,1,9.70940274747831
50,0,0,,0,1,10.6691425308816
10,,100,50,0,1,9.29050713640158
0,,,,0,1,9.40560018380881
90,,,100,0,1,9.48151976442657
0,0,50,100,0,1,9.17434179477429
50,100,0,100,1,1,10.3514791824695
75,70,25,80,0,1,9.25070937314126
100,,0,100,0,1,10.2359039385422
0,100,100,0,1,1,9.68146330413669
100,100,100,100,0,1,9.97080604680666
90,50,,,0,0,9.37742185194012
100,99,75,50,0,0,9.78149037141918
100,0,,75,0,0,10.6436409121008
0,15,0,1,1,1,8.88588195396664
90,50,50,50,1,0,8.58882273085831
70,75,55,0,0,1,8.99788736600667
0,100,100,100,0,1,9.44233873212665
24,,0,100,1,1,8.38067366295965
0,80,100,90,0,1,9.66938666726397
100,0,100,0,0,1,9.72079554844518
0,0,0,0,1,1,9.30320806111942
75,35,50,0,0,0,8.78391478777007
100,50,,0,1,0,10.4244166000313
75,0,0,100,0,1,10.2178451355846
,,0,,0,0,11.0678680261275
,25,15,50,0,0,9.79568596416971
,1,0,0,0,1,10.0108756344163
0,100,100,0,1,1,10.2057252969852
,0,,0,0,0,9.58199591975624
100,0,80,70,0,1,9.9190581892061
0,100,100,100,1,1,10.3774765807619
100,,,,0,1,9.88345663030561
90,,,,0,0,8.57916617757469
50,30,70,30,0,1,10.7693441451798
,0,,,0,0,9.9146927527316
80,99,100,95,0,1,8.31979280003193
0,98,80,90,1,1,8.03076573000682
,100,100,100,1,1,9.21432307436797
92,0,100,100,1,1,10.266332234272
1,0,0,0,1,1,8.18096280990088
100,99,80,90,1,0,10.6153186548279
50,90,90,90,0,0,10.6892671546868
90,0,1,1,0,0,11.0541953009416
100,90,1,99,1,0,10.2271061810001
95,75,40,98,0,0,9.94283923601688
100,100,100,0,1,0,10.2090263992286
