id,a13,a14,a15,a16,a17,a18,a19,a20,gen,race,income,birth_year,age
1,,,,50,50,0,0,,1,0,10.6906094043068,1981,16
2,,,15,50,50,0,,,0,1,10.7423335616513,1982,15
3,,100,0,0,,,,,1,1,10.6718953226473,1983,14
4,,,,0,0,0,0,,1,1,10.4165451785935,1981,16
5,,,10,40,50,0,,,0,1,10.7877670335551,1982,15
6,,,0,0,0,0,,,1,1,9.86274065960198,1982,15
7,,0,50,,60,,,,0,1,7.70723667229726,1983,14
8,,,,100,99,100,95,,1,0,10.3279295751159,1981,16
9,,,,70,75,0,,,0,0,9.98664960348266,1982,15
10,100,100,99,95,,,,,0,0,10.2980856445411,1984,13
11,,,90,90,100,100,,,1,1,10.004719423719,1982,15
12,,,,50,100,0,0,,0,1,10.8347951222194,1981,16
13,100,0,100,0,,,,,0,1,9.31663121764582,1984,13
14,,,,,100,80,,,0,1,7.85664686661648,1980,17
15,,100,0,100,100,,,,1,1,9.55877236836422,1983,14
16,,,10,0,20,20,,,0,1,10.1612875636096,1982,15
17,,,,100,100,0,100,,1,1,10.2222780776737,1981,16
18,,,50,0,0,0,,,0,1,9.81807539893244,1982,15
19,25,96,0,4,,,,,0,1,9.00864261208783,1984,13
20,,,,,100,100,52,100,0,1,10.4475104584825,1980,17
21,,,0,50,100,75,,,0,1,9.6129826631095,1982,15
22,,,0,0,95,100,,,0,1,10.4853841573313,1982,15
23,,0,0,0,0,,,,1,1,10.4019681185359,1983,14
24,0,0,1,8,,,,,0,1,6.62848488537586,1984,13
25,,100,50,0,100,,,,1,1,8.14268285275772,1983,14
26,,,,,0,100,100,,0,1,8.23986301170361,1980,17
27,,,,,,50,80,,0,1,8.47764168491541,1981,16
28,,100,100,99,100,,,,1,1,9.58613009203538,1983,14
29,,95,,100,0,,,,1,0,11.2087337099484,1983,14
30,,,,,60,,,,0,0,9.92145295159328,1981,16
31,,,75,99,99,0,,,0,0,10.5414516528308,1982,15
32,,,,100,100,100,,,1,0,11.1438275697946,1981,16
33,,,,,100,98,99,95,1,0,9.6731278492691,1980,17
34,98,80,50,50,,,,,1,0,8.03624652391926,1984,13
35,,,,,,,,,0,0,9.60864127594017,1983,14
36,,,,,50,100,90,0,1,0,9.54396697885484,1980,17
37,,,,,100,,100,80,1,0,10.360094911152,1980,17
38,,,,80,100,,100,,1,0,10.5240416254781,1981,16
39,,,,,65,90,100,50,0,1,8.98867122925849,1980,17
40,,,0,0,,,,,1,0,9.98971287187554,1984,13
41,,100,0,0,0,,,,1,0,10.1620281092174,1983,14
42,,50,100,90,90,,,,0,0,8.89004737707712,1983,14
43,,,,100,50,100,100,,1,1,8.58567866761425,1981,16
44,,,,0,100,100,75,,0,1,10.617292783766,1981,16
45,,1,100,1,,,,,1,1,9.1757238684457,1984,13
46,0,100,70,0,,,,,0,1,10.0472738980124,1984,13
47,,,,60,100,0,,,1,1,9.65979094395975,1982,15
48,,0,60,40,100,,,,1,1,10.4635547773119,1983,14
49,,,50,100,100,100,,,1,1,10.2005841580313,1982,15
50,,100,50,89,0,,,,1,1,9.77763099361462,1983,14
51,,,,,100,32,60,60,0,1,10.0745131167593,1980,17
52,,,50,100,100,,,,0,1,9.63354696369765,1983,14
53,0,100,85,99,,,,,1,1,10.1011933252615,1984,13
54,100,0,25,5,,,,,1,1,9.28838753029333,1984,13
55,,,,0,75,78,75,,1,1,10.0223113103519,1981,16
56,,,60,45,45,90,,,1,0,10.1007376726202,1982,15
57,,,,0,0,99,,,0,1,8.68256448455224,1982,15
58,,1,50,,,,,,0,1,10.4268346119696,1983,14
59,,,,10,0,0,100,,1,1,9.89817289847509,1981,16
60,100,0,100,100,,,,,0,0,8.75294888111067,1984,13
61,,100,10,90,0,,,,1,1,9.37885375520498,1983,14
62,,,,,100,0,100,100,0,1,9.77419551264996,1980,17
63,99,99,99,2,,,,,1,1,9.10322751109812,1984,13
64,,,,,50,0,0,,0,1,10.7092907282777,1980,17
65,10,,100,50,,,,,0,1,9.26856337748178,1984,13
66,,,,,0,,,,0,1,9.48797671145127,1980,17
67,,,,,90,,,100,0,1,9.14481294402845,1980,17
68,,,,0,0,50,100,,0,1,8.62978301819208,1981,16
69,,,,50,100,0,100,,1,1,10.5508205588731,1981,16
70,,,75,70,25,80,,,0,1,10.0550313364859,1982,15
71,,,,,100,,0,100,0,1,10.1324281020555,1980,17
72,,,0,100,100,0,,,1,1,8.14349295319266,1982,15
73,100,100,100,100,,,,,0,1,9.95071749608225,1984,13
74,,90,50,,,,,,0,0,9.78352162868031,1983,14
75,,,100,99,75,50,,,0,0,9.91276113778822,1982,15
76,,,100,0,,75,,,0,0,10.8531663860335,1982,15
77,0,15,0,1,,,,,1,1,9.29248334113396,1984,13
78,,,,90,50,50,50,,1,0,9.348161515741,1981,16
79,,70,75,55,0,,,,0,1,8.59474105114553,1983,14
80,,,,0,100,100,100,,0,1,10.0695002660862,1981,16
81,24,,0,100,,,,,1,1,8.55256945982405,1984,13
82,0,80,100,90,,,,,0,1,9.80226900907625,1984,13
83,,,,100,0,100,0,,0,1,9.92449539614256,1981,16
84,0,0,0,0,,,,,1,1,10.3242616171415,1984,13
85,75,35,50,0,,,,,0,0,8.93594133696578,1984,13
86,,,,,100,50,,0,1,0,10.4760238936412,1980,17
87,75,0,0,100,,,,,0,1,9.83625721342895,1984,13
88,,,,,,0,,,0,0,10.5346185668388,1981,16
89,,,,,25,15,50,,0,0,9.99272687962596,1981,16
90,,,,,1,0,0,,0,1,10.037771470542,1981,16
91,,,0,100,100,0,,,1,1,10.3050043401056,1982,15
92,,,0,,0,,,,0,0,8.6346404166321,1983,14
93,,100,0,80,70,,,,0,1,9.90735985014828,1983,14
94,,,,,0,100,100,100,1,1,10.4139641253166,1980,17
95,,,100,,,,,,0,1,9.94538050394102,1982,15
96,,,90,,,,,,0,0,9.0500779725326,1982,15
97,,,,,50,30,70,30,0,1,10.6011058838669,1980,17
98,,,,,,0,,,0,0,10.5936549034698,1980,17
99,,,80,99,100,95,,,0,1,9.19653432186944,1982,15
