id,y1,y2,y3,y4,gen,race,birth_year,age,income
1,50,50,0,0,1,0,1981,16,54426
2,15,50,50,0,0,1,1982,15,74029.8181818182
3,100,0,0,,1,1,1983,14,36250
4,0,0,0,0,1,1,1981,16,36426.9230769231
5,10,40,50,0,0,1,1982,15,64533.3333333333
6,0,0,0,0,1,1,1982,15,21775
7,0,50,,60,0,1,1983,14,7200
8,100,99,100,95,1,0,1981,16,39363.6363636364
9,,70,75,0,0,0,1982,15,38428.5714285714
10,100,100,99,95,0,0,1984,13,70833.3333333333
11,90,90,100,100,1,1,1982,15,26400
12,50,100,0,0,0,1,1981,16,55000
13,100,0,100,0,0,1,1984,13,21857.1428571429
14,100,80,,,0,1,1980,17,
15,100,0,100,100,1,1,1983,14,21200
16,10,0,20,20,0,1,1982,15,44500
17,100,100,0,100,1,1,1981,16,30000
18,50,0,0,0,0,1,1982,15,26400
19,25,96,0,4,0,1,1984,13,33333.3333333333
20,100,100,52,100,0,1,1980,17,31000
21,0,50,100,75,0,1,1982,15,19655.625
22,0,0,95,100,0,1,1982,15,47300
23,0,0,0,0,1,1,1983,14,54861.3
24,0,0,1,8,0,1,1984,13,2166.66666666667
25,100,50,0,100,1,1,1983,14,4000
26,0,100,100,,0,1,1980,17,
27,,,50,80,0,1,1981,16,9920
28,100,100,99,100,1,1,1983,14,33709.0909090909
29,95,,100,0,1,0,1983,14,
30,,60,,,0,0,1981,16,
31,75,99,99,0,0,0,1982,15,65096.6428571429
32,100,100,100,,1,0,1981,16,114567.9
33,100,98,99,95,1,0,1980,17,15363.6363636364
34,98,80,50,50,1,0,1984,13,1500
35,,,,,0,0,1983,14,32444.4444444444
36,50,100,90,0,1,0,1980,17,16500
37,100,,100,80,1,0,1980,17,47909.0909090909
38,80,100,,100,1,0,1981,16,47785.7142857143
39,65,90,100,50,0,1,1980,17,9327.33333333333
40,,,0,0,1,0,1984,13,
41,100,0,0,0,1,0,1983,14,46090.9090909091
42,50,100,90,90,0,0,1983,14,12333.3333333333
43,100,50,100,100,1,1,1981,16,10188.8888888889
44,0,100,100,75,0,1,1981,16,39178
45,,1,100,1,1,1,1984,13,14571.4285714286
46,0,100,70,0,0,1,1984,13,
47,,60,100,0,1,1,1982,15,17800
48,0,60,40,100,1,1,1983,14,41557.1428571429
49,50,100,100,100,1,1,1982,15,31404.3076923077
50,100,50,89,0,1,1,1983,14,23000
51,100,32,60,60,0,1,1980,17,30583.3333333333
52,,50,100,100,0,1,1983,14,30670.8333333333
53,0,100,85,99,1,1,1984,13,26444.4444444445
54,100,0,25,5,1,1,1984,13,20300
55,0,75,78,75,1,1,1981,16,37506.5555555556
56,60,45,45,90,1,0,1982,15,41133.3333333333
57,,0,0,99,0,1,1982,15,9350
58,1,50,,,0,1,1983,14,64416.6666666667
59,10,0,0,100,1,1,1981,16,24280
60,100,0,100,100,0,0,1984,13,13500
61,100,10,90,0,1,1,1983,14,17615.3846153846
62,100,0,100,100,0,1,1980,17,22300
63,99,99,99,2,1,1,1984,13,37966.6666666667
64,50,0,0,,0,1,1980,17,55571.4285714286
65,10,,100,50,0,1,1984,13,10100
66,0,,,,0,1,1980,17,7250
67,90,,,100,0,1,1980,17,31000
68,0,0,50,100,0,1,1981,16,8666.66666666667
69,50,100,0,100,1,1,1981,16,48300
70,75,70,25,80,0,1,1982,15,59366.6666666667
71,100,,0,100,0,1,1980,17,34681.8181818182
72,0,100,100,0,1,1,1982,15,4000
73,100,100,100,100,0,1,1984,13,26200
74,90,50,,,0,0,1983,14,60611.1111111111
75,100,99,75,50,0,0,1982,15,40937.5
76,100,0,,75,0,0,1982,15,69583.3333333333
77,0,15,0,1,1,1,1984,13,13366.6666666667
78,90,50,50,50,1,0,1981,16,12666.6666666667
79,70,75,55,0,0,1,1983,14,16416.6666666667
80,0,100,100,100,0,1,1981,16,4000
81,24,,0,100,1,1,1984,13,5000
82,0,80,100,90,0,1,1984,13,27625
83,100,0,100,0,0,1,1981,16,24857.1428571429
84,0,0,0,0,1,1,1984,13,38333.3333333333
85,75,35,50,0,0,0,1984,13,26695.1666666667
86,100,50,,0,1,0,1980,17,40633.3333333333
87,75,0,0,100,0,1,1984,13,20000
88,,,0,,0,0,1981,16,71667
89,,25,15,50,0,0,1981,16,52264.2857142857
90,,1,0,0,0,1,1981,16,25142.8571428571
91,0,100,100,0,1,1,1982,15,64125
92,,0,,0,0,0,1983,14,100
93,100,0,80,70,0,1,1983,14,23644.4444444444
94,0,100,100,100,1,1,1980,17,36259.8461538462
95,100,,,,0,1,1982,15,32666.6666666667
96,90,,,,0,0,1982,15,
97,50,30,70,30,0,1,1980,17,54666.6666666667
98,,0,,,0,0,1980,17,38000
99,80,99,100,95,0,1,1982,15,5000
100,0,98,80,90,1,1,1981,16,26333.3333333333
101,,100,100,100,1,1,1981,16,17666.6666666667
102,92,0,100,100,1,1,1982,15,51500
103,1,0,0,0,1,1,1983,14,
104,100,99,80,90,1,0,1980,17,54461.5384615385
105,50,90,90,90,0,0,1983,14,60266.6666666667
106,90,0,1,1,0,0,1981,16,65000
107,100,90,1,99,1,0,1982,15,59326.6666666667
108,95,75,40,98,0,0,1984,13,55625
109,100,100,100,0,1,0,1982,15,34770
110,90,1,50,40,1,0,1984,13,35272.7272727273
111,100,100,50,0,1,0,1981,16,30200
112,,,,80,1,0,1984,13,23000
113,98,95,50,75,0,0,1984,13,44381.8181818182
114,75,75,100,100,1,0,1982,15,29538.4615384615
115,0,20,1,1,1,1,1984,13,131150.333333333
116,85,0,100,,0,1,1984,13,19107.6923076923
117,0,0,0,,0,1,1984,13,25727.2727272727
118,80,,,80,0,0,1980,17,26600
119,100,,,,0,0,1982,15,50800
120,1,,,,0,0,1982,15,71000
121,100,90,80,100,0,0,1981,16,37625
122,100,100,75,100,0,0,1984,13,28357.1428571429
123,25,,,,0,0,1980,17,
124,50,,,,0,0,1982,15,
125,100,,100,,1,0,1984,13,51500
126,1,50,0,50,0,0,1981,16,51533.3333333333
127,98,100,10,0,1,0,1982,15,38166.6666666667
128,100,90,,100,1,0,1982,15,42357.1428571429
129,99,50,70,20,1,0,1980,17,70000
130,80,50,99,99,1,0,1981,16,51000
131,100,75,75,,0,0,1980,17,
132,99,99,100,99,0,0,1983,14,40056.25
133,85,,90,,0,0,1982,15,154637.7
134,85,50,100,0,0,0,1984,13,
135,90,50,,80,0,0,1981,16,37625
136,95,,50,100,1,0,1983,14,31671.4285714286
137,100,100,100,100,1,0,1980,17,34090.9090909091
138,0,100,69,0,0,0,1984,13,45333.3333333333
139,90,95,95,92,1,0,1984,13,500
140,100,100,,,0,1,1983,14,13000
141,100,,100,,1,0,1980,17,
142,50,100,99,100,1,0,1981,16,35142.8571428571
143,0,10,40,0,0,1,1981,16,41220
144,85,60,,20,0,1,1982,15,39307.6923076923
145,50,75,50,50,0,1,1984,13,55909.0909090909
146,56,20,0,,0,1,1984,13,22458.3333333333
147,25,0,1,0,1,0,1984,13,23500
148,100,100,100,100,1,1,1982,15,18166.6666666667
149,75,20,40,40,1,1,1983,14,7360
150,0,0,0,30,0,1,1984,13,16958.6666666667
151,100,0,100,100,1,1,1982,15,40250
152,0,0,99,0,0,1,1982,15,17937.5
153,0,0,0,0,1,1,1980,17,4972
154,75,0,,,0,0,1980,17,
155,75,25,70,50,0,0,1980,17,128111.142857143
156,100,0,75,50,0,0,1982,15,154710.444444444
157,100,0,0,0,1,1,1982,15,47739.2857142857
158,100,100,50,50,0,1,1984,13,47706.25
159,99,0,2,0,1,1,1980,17,21727.2727272727
160,0,0,,,1,1,1981,16,15000
161,3,30,30,100,0,1,1982,15,60000
162,100,,,50,1,1,1981,16,46376.6
163,50,,,0,0,1,1983,14,7366.66666666667
164,0,0,90,75,1,0,1981,16,40033.3333333333
165,100,0,0,0,0,0,1980,17,97983.8571428571
166,99,100,99,100,1,0,1982,15,52342.0769230769
167,0,,,100,0,1,1984,13,
168,0,0,100,0,0,1,1981,16,101862.75
169,0,100,100,,1,0,1983,14,14520
170,100,90,90,95,1,0,1984,13,22800.1818181818
171,50,100,100,95,1,1,1984,13,23230.7692307692
172,100,100,,,0,0,1983,14,235884
173,50,100,,,1,0,1980,17,
174,5,0,0,,0,0,1983,14,40000
175,90,95,80,100,1,0,1981,16,43840
176,90,100,90,85,0,0,1982,15,64576.9230769231
177,90,75,70,50,1,0,1980,17,48026.1538461538
178,90,,0,,1,0,1980,17,43166.6666666667
179,95,50,50,,1,0,1981,16,
180,100,100,100,,0,0,1983,14,17250
181,80,,50,50,1,0,1982,15,40083.3333333333
182,88,0,0,,1,0,1984,13,134312.909090909
183,0,0,0,40,1,0,1980,17,22416.6666666667
184,45,50,45,70,0,0,1984,13,40000
185,50,50,0,0,0,1,1981,16,15000
186,0,0,0,100,1,0,1983,14,
187,96,99,99,99,0,1,1983,14,54733.3333333333
188,95,0,0,,1,0,1980,17,36000
189,100,100,65,15,1,0,1984,13,
190,70,0,50,100,0,0,1983,14,22083.3333333333
191,95,98,75,,0,0,1982,15,28916.6666666667
192,50,100,50,0,1,1,1982,15,20750
193,90,100,,10,1,1,1981,16,22055.5555555556
194,99,0,100,100,1,1,1980,17,30541.6666666667
195,2,0,99,10,0,1,1983,14,20114.2857142857
196,0,75,,,0,1,1984,13,1200
197,,,,,1,0,1981,16,57500
198,,100,100,100,1,0,1980,17,26545.4545454545
199,80,0,40,25,0,0,1982,15,31869.2307692308
200,90,100,100,85,0,0,1980,17,40358.7272727273
201,95,70,85,90,1,0,1983,14,42150
202,0,100,0,0,0,0,1982,15,63217.0714285714
203,0,90,0,100,1,0,1984,13,59466.6666666667
204,100,100,100,100,1,0,1981,16,43608.1333333333
205,100,0,99,0,1,0,1983,14,16142.8571428571
206,100,100,100,0,0,0,1982,15,39750
207,60,100,100,80,1,0,1981,16,42000
208,0,0,20,50,1,0,1984,13,30000
209,95,80,10,10,0,1,1983,14,8833.33333333333
210,100,100,20,100,0,1,1984,13,9666.66666666667
211,90,50,0,30,1,1,1980,17,52500
212,50,80,90,90,0,1,1980,17,50040
213,100,98,90,99,1,1,1982,15,30080
214,0,0,0,0,1,1,1982,15,47833.3333333333
215,75,75,50,0,0,1,1981,16,35416.6666666667
216,0,0,100,100,1,1,1980,17,44766.6666666667
217,0,25,,,1,1,1982,15,14250
218,25,0,50,99,0,1,1983,14,
219,100,99,99,90,0,1,1982,15,16576.9230769231
220,0,95,0,0,0,0,1984,13,7500
221,99,70,80,78,1,0,1984,13,23706.6666666667
222,75,50,10,0,0,1,1981,16,51083.3333333333
223,45,30,25,100,0,1,1981,16,32750
224,75,99,0,80,1,0,1982,15,26875
225,100,99,100,100,0,0,1980,17,46696.6666666667
226,100,0,100,50,1,1,1981,16,
227,,100,0,,1,1,1980,17,
228,1,0,0,0,0,0,1984,13,36533.3333333333
229,0,75,90,90,1,0,1984,13,36376.9230769231
230,99,75,0,0,0,1,1984,13,47803.5714285714
231,0,15,0,50,0,1,1980,17,20428.5714285714
232,0,0,100,0,0,1,1984,13,47466.6666666667
233,50,50,50,0,0,1,1980,17,31700
234,75,75,50,55,1,1,1983,14,23588.8888888889
235,100,99,100,100,1,0,1981,16,47272.7272727273
236,100,99,99,97,1,1,1984,13,32750
237,50,50,50,,0,0,1983,14,39642.8571428572
238,100,100,0,0,1,0,1981,16,5962
239,99,100,50,,0,0,1980,17,34000
240,100,100,100,95,1,0,1983,14,59807.6923076923
241,50,0,0,100,1,1,1983,14,45179.9166666667
242,0,0,100,0,0,1,1984,13,51141.6666666667
243,0,100,0,0,1,1,1983,14,32500
244,75,90,90,80,0,1,1983,14,30923.0769230769
245,50,100,100,90,1,0,1984,13,34727.2727272727
246,90,50,,,0,1,1980,17,72872.7272727273
247,70,0,0,0,0,0,1982,15,51115.3846153846
248,100,50,100,100,1,0,1983,14,40964.2857142857
249,0,,,,0,0,1981,16,70000
250,89,,,,0,0,1981,16,17500
251,80,100,80,50,0,1,1982,15,58666.6666666667
252,0,50,50,50,1,1,1984,13,34720
253,80,,,100,1,0,1984,13,
254,0,0,0,0,0,0,1981,16,59636.3636363636
255,0,75,55,60,1,0,1983,14,123750
256,50,,,50,0,0,1980,17,45545.4545454546
257,99,70,0,60,0,0,1984,13,38444.4444444444
258,0,90,0,100,0,0,1982,15,26866.6666666667
259,100,95,90,,0,0,1981,16,58500
260,50,0,100,50,0,1,1980,17,26777.7777777778
261,100,99,100,100,0,1,1983,14,20812.5
262,0,0,1,0,0,1,1980,17,8500
263,0,0,0,0,0,1,1983,14,13000
264,75,50,0,100,0,0,1982,15,27214.2857142857
265,1,39,99,100,0,1,1983,14,31644.3846153846
266,50,0,95,100,1,0,1980,17,49285.7142857143
267,0,80,50,50,1,0,1980,17,31191.6666666667
268,100,50,50,50,0,1,1981,16,52094.3333333333
269,,,0,100,1,0,1981,16,
270,98,50,0,35,1,0,1984,13,17555.5555555556
271,5,50,25,50,1,0,1982,15,17285.7142857143
272,75,100,80,0,1,1,1982,15,4375
273,100,100,100,20,1,1,1983,14,16225
274,50,0,,,1,1,1980,17,17488.8888888889
275,50,100,0,100,0,1,1980,17,19800
276,50,0,90,20,1,1,1982,15,12166.6666666667
277,100,100,50,,0,1,1984,13,8466.66666666667
278,100,0,0,0,0,0,1980,17,48240.9333333333
279,75,50,75,,0,0,1981,16,143628
280,0,0,90,50,0,0,1983,14,56750
281,15,100,80,50,0,1,1984,13,31785.7142857143
282,2,100,80,75,0,0,1980,17,28035.7142857143
283,90,,2,75,0,0,1984,13,30607.1428571429
284,20,90,0,0,1,1,1981,16,28000
285,100,99,0,85,0,0,1981,16,55497.9166666667
286,100,75,95,99,1,0,1984,13,20887.5
287,100,50,50,0,0,0,1980,17,45700.7333333333
