"PUBID","YSAQ-282C","YSAQ-282D","YSAQ-282E","YSAQ-282F","YSAQ-282G","YTEL-52~000001","YTEL-52~000002","YTEL-52~000003","YTEL-52~000004"
1,1,4,2,3,2,-4,-4,-4,-4
2,4,2,3,2,4,-5,-5,-5,-5
3,3,3,3,2,3,-5,-5,-5,-5
4,4,2,4,1,4,-4,-4,-4,-4
5,4,3,3,2,2,-4,-4,-4,-4
6,4,2,4,1,4,-4,-4,-4,-4
7,3,3,3,3,2,-5,-5,-5,-5
8,3,3,3,2,4,-4,-4,-4,-4
9,3,2,3,2,3,-4,-4,-4,-4
10,3,3,3,3,4,4,4,4,2
11,3,3,2,3,3,-4,-4,-4,-4
12,4,2,3,1,4,3,1,3,2
13,4,4,3,2,4,3,3,4,1
14,-5,-5,-5,-5,-5,-5,-5,-5,-5
15,3,2,4,2,3,-5,-5,-5,-5
16,3,3,4,2,4,3,3,1,3
17,-5,-5,-5,-5,-5,-5,-5,-5,-5
18,4,1,2,4,3,-4,-4,-4,-4
19,3,2,4,2,1,-5,-5,-5,-5
20,1,2,3,1,2,-5,-5,-5,-5
21,4,2,4,1,4,-4,-4,-4,-4
22,4,1,4,1,4,-4,-4,-4,-4
23,3,4,3,2,3,4,4,3,4
24,3,3,2,2,4,-4,-4,-4,-4
25,3,3,3,2,3,-4,-4,-4,-4
26,1,3,2,2,2,2,-2,3,-2
27,3,2,3,2,3,-4,-4,-4,-4
28,3,3,3,2,4,-4,-4,-4,-4
29,-5,-5,-5,-5,-5,-5,-5,-5,-5
30,-5,-5,-5,-5,-5,-5,-5,-5,-5
31,3,4,4,3,3,3,3,3,3
32,2,3,3,3,4,-5,-5,-5,-5
33,3,3,4,2,4,-4,-4,-4,-4
34,3,3,3,2,3,-4,-4,-4,-4
35,3,2,3,2,4,-4,-4,-4,-4
36,2,3,1,3,1,-4,-4,-4,-4
37,4,1,4,1,4,3,3,3,3
38,4,3,4,2,4,-4,-4,-4,-4
39,4,3,3,2,4,-4,-4,-4,-4
40,3,3,3,2,4,-5,-5,-5,-5
41,3,2,3,2,4,-4,-4,-4,-4
42,2,3,3,2,4,-4,-4,-4,-4
43,3,2,4,1,4,3,3,2,3
44,4,2,3,2,2,-4,-4,-4,-4
45,3,3,1,1,3,-4,-4,-4,-4
46,4,3,2,2,4,-5,-5,-5,-5
47,4,1,4,2,4,4,0,3,0
48,3,2,3,2,4,-4,-4,-4,-4
49,4,2,4,2,4,-4,-4,-4,-4
50,3,2,3,2,4,3,1,3,1
51,3,2,4,1,4,-4,-4,-4,-4
52,3,2,3,2,4,-4,-4,-4,-4
53,3,3,3,3,4,-4,-4,-4,-4
54,4,1,4,1,4,3,3,3,2
55,2,3,1,3,3,-4,-4,-4,-4
56,3,2,3,2,4,3,2,4,1
57,3,1,3,1,3,-4,-4,-4,-4
58,3,2,4,1,4,-5,-5,-5,-5
59,4,2,4,2,4,-4,-4,-4,-4
60,3,2,4,2,4,3,3,3,1
61,4,2,3,1,4,-4,-4,-4,-4
62,3,2,4,1,4,-4,-4,-4,-4
63,3,3,3,3,4,-4,-4,-4,-4
64,4,2,4,2,4,-4,-4,-4,-4
65,4,1,4,1,4,-4,-4,-4,-4
66,2,2,3,2,4,4,3,3,1
67,4,2,3,2,4,-4,-4,-4,-4
68,4,1,1,4,1,-4,-4,-4,-4
69,3,3,3,3,3,-4,-4,-4,-4
70,3,2,3,2,4,-4,-4,-4,-4
71,3,2,3,2,4,-4,-4,-4,-4
72,2,3,1,3,2,-5,-5,-5,-5
73,3,3,3,2,4,-5,-5,-5,-5
74,3,3,4,1,4,4,4,4,1
75,3,3,3,2,3,-4,-4,-4,-4
76,4,1,4,2,4,-4,-4,-4,-4
77,4,2,4,2,3,-5,-5,-5,-5
78,4,3,3,3,4,-4,-4,-4,-4
79,3,3,3,3,2,-4,-4,-4,-4
80,3,2,2,3,1,4,4,3,4
81,1,3,4,1,4,-4,-4,-4,-4
82,3,3,3,3,3,-4,-4,-4,-4
83,2,3,1,3,3,-4,-4,-4,-4
84,3,3,3,2,3,-4,-4,-4,-4
85,2,4,1,3,2,-4,-4,-4,-4
86,3,3,4,2,4,-4,-4,-4,-4
87,2,3,3,3,3,-4,-4,-4,-4
88,3,1,4,2,4,-5,-5,-5,-5
89,2,3,2,3,3,-4,-4,-4,-4
90,3,2,4,2,4,-4,-4,-4,-4
91,4,2,3,2,3,-4,-4,-4,-4
92,3,2,3,1,1,-4,-4,-4,-4
93,2,3,2,3,3,-4,-4,-4,-4
94,3,3,3,3,3,3,2,2,2
95,-5,-5,-5,-5,-5,-4,-4,-4,-4
96,-5,-5,-5,-5,-5,-5,-5,-5,-5
97,2,3,2,3,2,-4,-4,-4,-4
98,3,3,4,3,4,-5,-5,-5,-5
99,4,3,3,3,4,-5,-5,-5,-5
100,2,3,3,2,4,-4,-4,-4,-4
101,2,3,3,3,3,-4,-4,-4,-4
102,3,3,3,2,4,-4,-4,-4,-4
103,3,3,4,2,4,-5,-5,-5,-5
104,3,4,2,3,3,-4,-4,-4,-4
105,3,2,4,2,4,-4,-4,-4,-4
106,-5,-5,-5,-5,-5,-5,-5,-5,-5
107,3,3,3,2,4,-4,-4,-4,-4
108,4,3,3,2,4,4,4,4,1
109,2,3,3,3,3,4,2,3,1
110,4,2,4,2,4,-4,-4,-4,-4
111,3,2,4,2,4,-4,-4,-4,-4
112,4,2,4,1,4,-5,-5,-5,-5
113,3,2,3,2,4,-4,-4,-4,-4
114,3,3,3,2,4,-4,-4,-4,-4
115,2,3,3,3,4,-5,-5,-5,-5
116,3,2,3,2,4,4,2,4,3
117,4,2,3,2,4,3,3,0,2
118,3,3,3,3,3,-4,-4,-4,-4
119,-5,-5,-5,-5,-5,-4,-4,-4,-4
120,-5,-5,-5,-5,-5,-5,-5,-5,-5
121,3,2,4,2,4,-5,-5,-5,-5
122,3,2,4,2,4,-4,-4,-4,-4
123,-5,-5,-5,-5,-5,-5,-5,-5,-5
124,-5,-5,-5,-5,-5,-5,-5,-5,-5
125,-5,-5,-5,-5,-5,-5,-5,-5,-5
126,2,3,3,4,1,-2,4,2,3
127,3,2,3,2,3,-4,-4,-4,-4
128,3,2,3,2,4,-5,-5,-5,-5
129,4,2,4,1,4,-5,-5,-5,-5
130,4,1,4,1,4,-5,-5,-5,-5
131,-5,-5,-5,-5,-5,-5,-5,-5,-5
132,3,2,3,2,4,-4,-4,-4,-4
133,-5,-5,-5,-5,-5,-4,-4,-4,-4
134,3,2,3,3,3,-5,-5,-5,-5
135,3,3,3,3,4,-4,-4,-4,-4
136,3,2,4,2,4,-4,-4,-4,-4
137,3,1,4,1,4,-4,-4,-4,-4
138,3,2,4,2,3,3,3,3,3
139,3,3,3,2,4,-5,-5,-5,-5
140,-5,-5,-5,-5,-5,-5,-5,-5,-5
141,-5,-5,-5,-5,-5,-5,-5,-5,-5
142,-5,-5,-5,-5,-5,-4,-4,-4,-4
143,3,4,2,4,2,-5,-5,-5,-5
144,4,2,3,2,3,-4,-4,-4,-4
145,3,3,3,3,4,-4,-4,-4,-4
146,4,1,4,1,4,3,4,3,3
147,2,3,2,3,3,3,1,3,3
148,4,2,4,2,4,-4,-4,-4,-4
149,4,3,4,2,4,-4,-4,-4,-4
150,3,2,2,3,4,-4,-4,-4,-4
151,2,3,3,1,3,-4,-4,-4,-4
152,-5,-5,-5,-5,-5,-4,-4,-4,-4
153,3,3,2,3,4,-4,-4,-4,-4
154,-5,-5,-5,-5,-5,-5,-5,-5,-5
155,3,2,4,2,4,-4,-4,-4,-4
156,3,2,3,2,3,-4,-4,-4,-4
157,3,3,3,3,3,-4,-4,-4,-4
158,3,2,4,2,4,-4,-4,-4,-4
159,3,2,3,2,3,4,3,3,3
160,3,4,3,1,4,-4,-4,-4,-4
161,2,1,3,1,1,-4,-4,-4,-4
162,3,4,2,3,4,-4,-4,-4,-4
163,3,4,1,4,4,3,3,1,4
164,2,3,3,2,4,-4,-4,-4,-4
165,3,2,3,2,4,-4,-4,-4,-4
166,2,3,3,2,4,-4,-4,-4,-4
167,2,3,-1,1,3,-4,-4,-4,-4
168,4,2,4,2,4,-4,-4,-4,-4
169,4,3,3,2,4,-4,-4,-4,-4
170,3,4,3,2,3,-4,-4,-4,-4
171,4,3,4,2,4,4,1,3,3
172,-5,-5,-5,-5,-5,-5,-5,-5,-5
173,-5,-5,-5,-5,-5,-5,-5,-5,-5
174,-5,-5,-5,-5,-5,-5,-5,-5,-5
175,4,2,4,2,4,-4,-4,-4,-4
176,3,2,3,2,4,3,1,3,1
177,3,2,3,2,4,3,3,3,3
178,-5,-5,-5,-5,-5,-4,-4,-4,-4
